iter	Passed	Remaining
407	5408	7847
408	5421	7833
409	5434	7820
410	5446	7805
411	5459	7792
412	5473	7779
413	5486	7765
414	5498	7750
415	5511	7736
416	5523	7721
417	5536	7708
418	5549	7694
419	5562	7681
420	5577	7671
421	5590	7657
422	5603	7643
423	5617	7631
424	5630	7617
425	5643	7604
426	5656	7590
427	5669	7577
428	5681	7562
429	5695	7549
430	5707	7535
431	5720	7520
432	5732	7506
433	5744	7491
434	5757	7477
435	5769	7463
436	5782	7449
437	5793	7433
438	5807	7420
439	5819	7406
440	5831	7392
441	5844	7378
442	5857	7365
443	5870	7350
444	5883	7338
445	5895	7323
446	5908	7309
447	5921	7295
448	5935	7283
449	5947	7269
450	5959	7254
451	5972	7241
452	5986	7228
453	5999	7214
454	6011	7201
455	6024	7187
456	6037	7173
457	6051	7161
458	6063	7147
459	6076	7133
460	6087	7118
461	6100	7104
462	6113	7090
463	6127	7078
464	6140	7064
465	6151	7049
466	6163	7034
467	6177	7021
468	6189	7007
469	6201	6993
470	6215	6980
471	6228	6967
472	6244	6957
473	6259	6946
474	6272	6932
475	6285	6919
476	6298	6905
477	6310	6891
478	6323	6878
479	6337	6865
480	6350	6852
481	6364	6840
482	6377	6826
483	6391	6813
484	6404	6800
485	6417	6787
486	6430	6774
487	6442	6759
488	6454	6745
489	6467	6731
490	6479	6717
491	6492	6703
492	6505	6690
493	6517	6675
494	6529	6661
495	6542	6648
496	6554	6633
497	6568	6620
498	6580	6606
499	6593	6593
500	6606	6579
501	6618	6565
502	6632	6552
503	6645	6540
504	6658	6526
505	6671	6513
506	6684	6500
507	6698	6487
508	6712	6475
509	6726	6462
510	6740	6450
511	6754	6437
512	6767	6424
513	6780	6410
514	6792	6397
515	6805	6382
516	6817	6369
517	6830	6355
518	6843	6342
519	6856	6328
520	6868	6314
521	6881	6301
522	6894	6288
523	6906	6274
524	6919	6260
525	6932	6246
526	6946	6234
527	6960	6222
528	6973	6209
529	6987	6196
530	7001	6184
531	7014	6170
532	7026	6156
533	7041	6145
534	7056	6133
535	7071	6121
536	7085	6108
537	7099	6096
538	7112	6083
539	7126	6071
540	7140	6058
541	7152	6044
542	7165	6030
543	7178	6017
544	7191	6003
545	7203	5990
546	7215	5975
547	7228	5962
548	7242	5949
549	7255	5936
550	7267	5921
551	7280	5908
552	7293	5895
553	7305	5881
554	7319	5868
555	7331	5854
556	7345	5842
557	7359	5829
558	7373	5816
559	7385	5802
560	7398	5789
561	7411	5776
562	7424	5762
563	7438	5750
564	7450	5736
565	7463	5722
566	7475	5708
567	7488	5695
568	7501	5682
569	7513	5668
570	7527	5655
571	7539	5641
572	7553	5628
573	7565	5614
574	7578	5601
575	7590	5587
576	7602	5573
577	7616	5560
578	7629	5547
579	7642	5533
580	7654	5520
581	7666	5506
582	7678	5492
583	7691	5478
584	7704	5465
585	7717	5451
586	7730	5438
587	7743	5425
588	7756	5412
589	7769	5398
590	7782	5385
591	7795	5372
592	7807	5358
593	7819	5344
594	7832	5331
595	7845	5318
596	7858	5304
597	7872	5292
598	7885	5279
599	7899	5266
600	7911	5252
601	7924	5239
602	7937	5225
603	7950	5212
604	7964	5200
605	7977	5186
606	7989	5172
607	8002	5159
608	8015	5146
609	8028	5133
610	8042	5120
611	8054	5106
612	8068	5093
613	8081	5080
614	8093	5066
615	8106	5053
616	8120	5040
617	8133	5027
618	8145	5013
619	8158	5000
620	8171	4986
621	8183	4973
622	8196	4959
623	8209	4946
624	8222	4933
625	8234	4919
626	8248	4906
627	8260	4892
628	8272	4879
629	8286	4866
630	8299	4853
631	8312	4840
632	8325	4826
633	8337	4812
634	8349	4799
635	8363	4786
636	8377	4773
637	8389	4760
638	8401	4746
639	8415	4733
640	8429	4720
641	8441	4707
642	8454	4693
643	8467	4680
644	8481	4667
645	8494	4654
646	8507	4641
647	8520	4628
648	8532	4614
649	8546	4601
